Wrong,Correct
"i recommend not to use this supplier.  they have the problem with their software as a result we had the problem with delivery. it took 2 month to solve this issue. moreover they did not contact with delivery company to change their errors in delivery.      ich empfehle, diesen lieferanten nicht zu verwenden.  sie haben das problem mit ihrer software als ergebnis hatten wir das problem mit der lieferung. es dauerte 2 monate, um dieses problem zu lösen. außerdem haben sie sich nicht mit dem zustelldienst in verbindung gesetzt, um ihre fehler in der zustellung zu ändern.      не покупайте у этого продавца. ошибки в программном обеспечении ведут к тому что возникают проблемы с доставкой так как данные отправляются неправильными. куча нервов и никакого содействия с их стороны.","i recommend not to use this supplier.  they have the problem with their software as a result we had the problem with delivery. it took 2 month to solve this issue. moreover they did not contact with delivery company to change their errors in delivery.      ich empfehle, diesen lieferanten nicht zu verwenden.  sie haben das problem mit ihrer software als ergebnis hatten wir das problem mit der lieferung. es dauerte 2 monate, um dieses problem zu lösen. außerdem haben sie sich nicht mit dem zustelldienst in verbindung gesetzt, um ihre fehler in der zustellung zu ändern.      не покупайте у этого продавца. ошибки в программном обеспечении ведут к тому что возникают проблемы с доставкой так как данные отправляются неправильными. куча нервов и никакого содействия с их стороны."
"разочарована. ткань совершенно не как в описании,  гладкая, плоская,  не пушистая. кофта в итоге не тёплая, а самая обыкновенная. мало того, села она просто ужасно на 84-66. висит бесформенным мешком,  и это не оверсайз, а именно мешок. она вообще никакая. рукава на каких-то очень толстых людей, хотя по длине на рост 163 везде хорошо. по ощущениям подойдёт точно на размер м, а то и l, вот на нем она будет действительно в обтяг. единственный плюс - тактильно приятная ткань. открыла спор,  вернула за ткань 400₽. безобразие полное.","разочарована. ткань совершенно не как в описании,  гладкая, плоская,  не пушистая. кофта в итоге не тёплая, а самая обыкновенная. мало того, села она просто ужасно на 84-66. висит бесформенным мешком,  и это не оверсайз, а именно мешок. она вообще никакая. рукава на каких-то очень толстых людей, хотя по длине на рост 163 везде хорошо. по ощущениям подойдёт точно на размер м, а то и l, вот на нем она будет действительно в обтяг. единственный плюс - тактильно приятная ткань. открыла спор,  вернула за ткань 400₽. безобразие полное."
"ох, пишу отзыв после месяца . как же он мне нравится, просто восторг!!! вещь универсальная, хочешь под рубашки одевай, хочешь под кофты) достаточно теплый. по фото видно, что спереди немного короткий, но на рост 180! подошел отлично. от талии примерно на ладонь (кажется разрезы находятся на уровне талии). заказывала в размере м, боялась что sка будет очень коротковата. проймы большие. горловина хорошо тянется, не смотря на более плотную вязку. цвет нейтральный, ненавязчивый и не особо броский, но отлично сочетается с большинством вещей. доставка довольно-таки быстрая, почти 2е недели.","ох, пишу отзыв после месяца . как же он мне нравится, просто восторг!!! вещь универсальная, хочешь под рубашки одевай, хочешь под кофты) достаточно теплый. по фото видно, что спереди немного короткий, но на рост 180! подошел отлично. от талии примерно на ладонь (кажется разрезы находятся на уровне талии). заказывала в размере м, боялась что sка будет очень коротковата. проймы большие. горловина хорошо тянется, не смотря на более плотную вязку. цвет нейтральный, ненавязчивый и не особо броский, но отлично сочетается с большинством вещей. доставка довольно-таки быстрая, почти 2е недели."
"вещи по качеству хорошие, но продавец не честный.заказала 5 вещей.сначала был неверный трэк-номер, я написала об этом продавцу, он  сказал, что моя посылка потерялась,предложил отправить новую, я согласилась.оказалось, что одной из вещей уже нет в наличии,с трудом вернула за нее деньги(без стоимости доставки).потом при получении еще  одной вещи не хватало,вернули только часть денег, несмотря на видео распаковки.в итоге из 5 вещей получила 3, подарила продавцу часть денег и заплатила  за доставку того, что он не отправлял.заказывайте не больше одной вещи за один раз- побережёте нервы и деньги.","вещи по качеству хорошие, но продавец не честный.заказала 5 вещей.сначала был неверный трэк-номер, я написала об этом продавцу, он  сказал, что моя посылка потерялась, предложил отправить новую, я согласилась.оказалось, что одной из вещей уже нет в наличии ,с трудом вернула за нее деньги(без стоимости доставки).потом при получении еще  одной вещи не хватало, вернули только часть денег, несмотря на видео распаковки.в итоге из 5 вещей получила 3, подарила продавцу часть денег и заплатила  за доставку того, что он не отправлял.заказывайте не больше одной вещи за один раз- побережёте нервы и деньги."
"это не оценка качества кардигана. обычная вязаная кофта из акрила. одну звезду ставлю за то, что продавец указал, что длина изделия 115 см и фотографии показывают длину по щиколотку. исходя из этой информации я и заказывала кардиган и еще переживала, как бы не было слишком длинно. пришло изделие длиной 90 см. на мой вопрос , что это, продавец ответил, что это какая-то  ручная работа :)) и замеры надо делать вместе с воротником. новое слово в установлении размеров. в общем на мой ""исполинский"" рост 159 см, это - до колена, т.е. совсем не то, что я хотела. очень расстроена. отдам маме. уточняйте длину изделия при заказе. да, еще в качестве компенсации продавец с китайским именем натали портман предложила скидку в 1 долл. на следующий заказ. я прониклась глубиной отзывчивости!!!","это не оценка качества кардигана. обычная вязаная кофта из акрила. одну звезду ставлю за то, что продавец указал, что длина изделия 115 см и фотографии показывают длину по щиколотку. исходя из этой информации я и заказывала кардиган и еще переживала, как бы не было слишком длинно. пришло изделие длиной 90 см. на мой вопрос , что это, продавец ответил, что это какая-то  ручная работа :)) и замеры надо делать вместе с воротником. новое слово в установлении размеров. в общем на мой ""исполинский"" рост 159 см, это - до колена, т.е. совсем не то, что я хотела. очень расстроена. отдам маме. уточняйте длину изделия при заказе. да, еще в качестве компенсации продавец с китайским именем натали портман предложила скидку в 1 долл. на следующий заказ. я прониклась глубиной отзывчивости!!!"
"деньги потратила зря. джемпер прислали с двумя дырами. при распаковке на почте не увидела этого, т.к. освещение было хреновое. увидела уже при примерке: одна дыра по шву рукава, ну это поправимо. вторая дыра идет на спине, в паре см от бокового шва. и эта дыра прошита машинным швом, из-за чего получается складка типа ;вытачки. учитывая, что изделие было смятым после транспортировки, это не бросилось в глаза, а выяснилось во время примерки. внешне выглятит как однобокая выточка и сидит по спинке коряво. всюду торчат ниточки. открыла спор на возврат денег, жду ответ. пряжа не очень приятная на ощупь, колется, воняет так, словно выполнена из 100% мазута. три стирки и ополаскиватель запах устранили, но все равно есть слабенькое амбре мазута. линяет свитер сильно, под дождь в нем лучше не попадать. размер подошел на мой 42 идеально, учитывая мой рост 154, рукава коротки, т.е. на мне непонятной длины, ни 3/4 ни 7/8. я в расстройстве.","деньги потратила зря. джемпер прислали с двумя дырами. при распаковке на почте не увидела этого, т.к. освещение было хреновое. увидела уже при примерке: одна дыра по шву рукава, ну это поправимо. вторая дыра идет на спине, в паре см от бокового шва. и эта дыра прошита машинным швом, из-за чего получается складка типа ;вытачки. учитывая, что изделие было смятым после транспортировки, это не бросилось в глаза, а выяснилось во время примерки. внешне выглятит как однобокая выточка и сидит по спинке коряво. всюду торчат ниточки. открыла спор на возврат денег, жду ответ. пряжа не очень приятная на ощупь, колется, воняет так, словно выполнена из 100% мазута. три стирки и ополаскиватель запах устранили, но все равно есть слабенькое амбре мазута. линяет свитер сильно, под дождь в нем лучше не попадать. размер подошел на мой 42 идеально, учитывая мой рост 154, рукава коротки, т.е. на мне непонятной длины, ни 3/4 ни 7/8. я в расстройстве."
"заказ был сделан 28 августа. по вине почты россии посылка месяц была на экскурсиях в нескольких городах страны, после чего была отправлена назад продавцу. продавцу я про это сообщила и он по-началу без проблем согласился вернуть деньги, когда посылка будет в китае. когда посылка была доставлена в шанхай, я открыла спор на возврат средств, на что меня начали уверять что посылка в моей стране (хахаха) и подождите еще 10 дней, отмените спор и прочее. я была в шоке. то ли продавец слепой, то ли меня за дурочку принял, не знаю. в споре он написал что я получила посылку, от чего шок мой не передать словами. через пару дней вдруг продавец пишет что он получил посылку и удовлетворил спор. деньги я получила конечно, но какой ценой. точно от этого магазина я такого не ожидала.","заказ был сделан 28 августа. по вине почты россии посылка месяц была на экскурсиях в нескольких городах страны, после чего была отправлена назад продавцу. продавцу я про это сообщила и он по-началу без проблем согласился вернуть деньги, когда посылка будет в китае. когда посылка была доставлена в шанхай, я открыла спор на возврат средств, на что меня начали уверять что посылка в моей стране (хахаха) и подождите еще 10 дней, отмените спор и прочее. я была в шоке. то ли продавец слепой, то ли меня за дурочку принял, не знаю. в споре он написал что я получила посылку, от чего шок мой не передать словами. через пару дней вдруг продавец пишет что он получил посылку и удовлетворил спор. деньги я получила конечно, но какой ценой. точно от этого магазина я такого не ожидала."
"я ужасно расстроена этим пуховиком. брала как зимний, но в итоге он реально максимум на -5 и это со свитером.набит, мягко говоря, слабо.но даже эти три грамма пуха, кстати, лезут из швов так, что о чёрном свитере можно сразу забыть. выйдя в нём в ноль я хорошо почувствовала холодок по плечам. подкупила меня стильная форма, но исполнение на ноль. рукава очень короткие. у меня рост 165 и всё равно коротковаты. а теперь внимание, в зимнем пуховике верхний материал промокает! причём не просто промокает, а мгновенно впитывает влагу. тут наверно, продавец мне скажет: «эй, он двусторонний, вторая сторона не промокает!».и наверно он окажется прав, но носить второй стороной просто невозможно, она уродская! и как следствие этого, к телу прилегает та сторона, которая совсем не дышит! т.е. полчаса в торговом центре и вы как в парилке.   продавцу писала! полный игнор, не ответил. открыла спор, предложил отправить его обратно. мне это неудобно. не компенсировали ни копейки. купившим - сочувствую. ","я ужасно расстроена этим пуховиком. брала как зимний, но в итоге он реально максимум на -5 и это со свитером.набит, мягко говоря, слабо.но даже эти три грамма пуха, кстати, лезут из швов так, что о чёрном свитере можно сразу забыть. выйдя в нём в ноль я хорошо почувствовала холодок по плечам. подкупила меня стильная форма, но исполнение на ноль. рукава очень короткие. у меня рост 165 и всё равно коротковаты. а теперь внимание, в зимнем пуховике верхний материал промокает! причём не просто промокает, а мгновенно впитывает влагу. тут наверно, продавец мне скажет: «эй, он двусторонний, вторая сторона не промокает!».и наверно он окажется прав, но носить второй стороной просто невозможно, она уродская! и как следствие этого, к телу прилегает та сторона, которая совсем не дышит! т.е. полчаса в торговом центре и вы как в парилке.  продавцу писала! полный игнор, не ответил. открыла спор, предложил отправить его обратно. мне это неудобно. не компенсировали ни копейки. купившим - сочувствую. "
"02.10.17 получила заказ на почте. это совсем не то платье, которое описано у продавца, так-же оно кардинально отличается от платьев, которые покупатели получали в начале продаж.  размерная сетка не соответствует заявленной (все параметры гораздо меньше). я имея размер 44-46 и грудь 92 влезла в него с треском. карманов нет!  рукава узкие и короткие (на фото продавца это широкий длинный рукав, который можно еще и подвернуть).  пояс скроен совсем не как на фото. ткань синтетика, которая с трудом разглаживается. не советую.  спор открыла, с привлечением али, выиграла. но осадочек остался.","02.10.17 получила заказ на почте. это совсем не то платье, которое описано у продавца, так-же оно кардинально отличается от платьев, которые покупатели получали в начале продаж.  размерная сетка не соответствует заявленной (все параметры гораздо меньше). я имея размер 44-46 и грудь 92 влезла в него с треском. карманов нет!  рукава узкие и короткие (на фото продавца это широкий длинный рукав, который можно еще и подвернуть).  пояс скроен совсем не как на фото. ткань синтетика, которая с трудом разглаживается. не советую.  спор открыла, с привлечением али, выиграла. но осадочек остался."
"заказ до екатеринбурга шел 26 дней. отслеживался на протяжении всего пути. жилетка качественная,тонкая,по наполнению указано на этикетке, что пух белой утки. на мои параметры рост 176 88-68-98 размер м сел как раз так, что под низ можно надеть свитер или кожанку. жилет не объемный, можно видеть в холода под шубу или пуховик. отзыв дополню, если там натуральный пух, то он будет вылазить, вот и посмотрим. минус в том, что только две пуговицы, одна декоративная, вторая под петельку. думаю пришить дополнительно клёпки.","заказ до екатеринбурга шел 26 дней. отслеживался на протяжении всего пути. жилетка качественная, тонкая,по наполнению указано на этикетке, что пух белой утки. на мои параметры рост 176 88-68-98 размер м сел как раз так, что под низ можно надеть свитер или кожанку. жилет не объемный, можно видеть в холода под шубу или пуховик. отзыв дополню, если там натуральный пух, то он будет вылазить, вот и посмотрим. минус в том, что только две пуговицы, одна декоративная, вторая под петельку. думаю пришить дополнительно клёпки."
"странный крой свитшота... на плечах топорщится, поднимается вверх, пройма наоборот опущена ниже нормы. сидит плохо. фигура у меня стандартная, без особенностей и странностей. ) это-то и удивительно - какая-то нелепая посадка, как на картонную фигуру кроили. )))    с доставкой отдельная история! оформила заказ 12.10.2017, а получила только сегодня - 21.11.2017. и это cdek, как бы ускоренная доставка, это не почта россии. ) заказ прибыл в москву, на таможню, зачем-то его отправили обратно, а потом вернули. писала продавцу, просила объяснить, но оба моих сообщения остались без ответа. просто игнор и все. ) оценку не даю, клеймить не собираюсь, просто факты и все. )","странный крой свитшота... на плечах топорщится, поднимается вверх, пройма наоборот опущена ниже нормы. сидит плохо. фигура у меня стандартная, без особенностей и странностей. ) это-то и удивительно - какая-то нелепая посадка, как на картонную фигуру кроили. )))    с доставкой отдельная история! оформила заказ 12.10.2017, а получила только сегодня - 21.11.2017. и это cdek, как бы ускоренная доставка, это не почта россии. ) заказ прибыл в москву, на таможню, зачем-то его отправили обратно, а потом вернули. писала продавцу, просила объяснить, но оба моих сообщения остались без ответа. просто игнор и все. ) оценку не даю, клеймить не собираюсь, просто факты и все. )"
"пальто оставило противоречивые чувства. с одной стороны оно неплохое: сделано нормально, материал хороший, никаких нареканий к пошиву нет. но с другой стороны странности с размером. мой рост 170, 84-70-94, плечи 39. заказывала размер м. рукава пальто коротковаты, в плечах узковато, не критично, но немного некомфортно. но зато на спине образуется некрасивый пузырь. и это не выглядит как оверсайз, как кокон,  это именно пузырь. с боков тоже все висит. из-за узких плечей надеть под него можно только тонкий свитерок. но само пальто такое тонкое, что я не знаю на какую температуру оно подойдёт. наверное, только на конец апреля. я дома его мерила и не спарилась. в общем я разочарована. ","пальто оставило противоречивые чувства. с одной стороны, оно неплохое: сделано нормально, материал хороший, никаких нареканий к пошиву нет. но с другой стороны — странности с размером. мой рост 170, 84-70-94, плечи 39. заказывала размер м. рукава пальто коротковаты, в плечах узковато, не критично, но немного некомфортно. но зато на спине образуется некрасивый пузырь. и это не выглядит как оверсайз, как кокон,  это именно пузырь. с боков тоже все висит. из-за узких плечей надеть под него можно только тонкий свитерок. но само пальто такое тонкое, что я не знаю, на какую температуру оно подойдёт. наверное, только на конец апреля. я дома его мерила и не спарилась. в общем, я разочарована. "
"пришел заказ ооочень быстро. 7 декабря заказала, 17 декабря пришло извещение с почты, что пришла посылочка. это рекорд, первый товар, который так быстро пришел, хотя отправка была из китая, а не со склада в россии. что касается качества куртки, то оно оставляет желать лучшего: торчат нитки не обрезанные, на краях карманов торчит синтепон. на зиму куртка тонкая, скорее на позднюю осень. ткань у куртки мягкая, приятная. с размером тоже пролетела, на свой 50 размер заказала 3xl, оказалась чуть маловата, рукава коротковаты. не сильно расстроилась, так как брала для того, чтобы зимой в огород выйти.","пришел заказ ооочень быстро. 7 декабря заказала, 17 декабря пришло извещение с почты, что пришла посылочка. это рекорд, первый товар, который так быстро пришел, хотя отправка была из китая, а не со склада в россии. что касается качества куртки, то оно оставляет желать лучшего: торчат нитки не обрезанные, на краях карманов торчит синтепон. на зиму куртка тонкая, скорее на позднюю осень. ткань у куртки мягкая, приятная. с размером тоже пролетела, на свой 50 размер заказала 3xl, оказалась чуть маловата, рукава коротковаты. не сильно расстроилась, так как брала для того, чтобы зимой в огород выйти."
"заказ пришел относительно быстро. но это единственный плюс.   все остальное - полная хрень.    1. никакого хлопка как в описании - сплошная синтетика, абсолютно не дышащая. понятно что в ней тепло, но вонять будет через день как помойка.   2. надписи спереди и сзади изготовлены из какой-то полиэтиленовой пленки. приклеено кое-как, наверняка после первой же стирки все (или что еще хуже - частично) отвалится.    3. обещанный браслетик и значок не положили. нахрена было писать, что free gift к каждой кофточке?   как пообщаться с продавцом на тему, так и не понял, ссылка на сообщения не работает. да и толку с того общения, все равно синтетика вдруг не превратится в хлопок, а браслетик и значок не появятся из воздуха. ясно  одно - больше никаких заказов в этом магазине, сплошной развод.","заказ пришел относительно быстро. но это единственный плюс.   все остальное - полная хрень.    1. никакого хлопка как в описании - сплошная синтетика, абсолютно не дышащая. понятно что в ней тепло, но вонять будет через день как помойка.   2. надписи спереди и сзади изготовлены из какой-то полиэтиленовой пленки. приклеено кое-как, наверняка после первой же стирки все (или что еще хуже - частично) отвалится.    3. обещанный браслетик и значок не положили. нахрена было писать, что free gift к каждой кофточке?   как пообщаться с продавцом на тему, так и не понял, ссылка на сообщения не работает. да и толку с того общения, все равно синтетика вдруг не превратится в хлопок, а браслетик и значок не появятся из воздуха. ясно  одно - больше никаких заказов в этом магазине, сплошной развод."
"это худшая моя покупка на али. цена свитеру — 300-400 рублей, никак не больше тысячи. если бы умела вязать, распустила бы на нитку :(   куча брака, чего никак не ожидала от такого раскрученного бренда. везде зацепки, внизу болтается резинка.   то, как он сидит, — отдельная тема. не пролистала до конца комментарии, а ведь там честно написали: как бесформенная бочка. я понимаю, что оверсайз — модно, но не когда шов плеча у тебя на локте болтается! и я отнюдь не дюймовочка (рост 166 см, ог 91 см).  ворот — вообще боль. либо он как-то нелепо торчит вверх, либо, если спустить его на плечи, то становится вообще непонятно, на какой сезон этот свитер (голая шея, голые плечи — и свитер так на -30 градусов).   колется. антистатик не исправил ситуацию.  по мне, так выброшенные деньги. читайте внимательно комментарии и не ведитесь на модность бренда.","это худшая моя покупка на али. цена свитеру — 300-400 рублей, никак не больше тысячи. если бы умела вязать, распустила бы на нитку :( куча брака, чего никак не ожидала от такого раскрученного бренда. везде зацепки, внизу болтается резинка. то, как он сидит, — отдельная тема. не пролистала до конца комментарии, а ведь там честно написали: как бесформенная бочка. я понимаю, что оверсайз — модно, но не когда шов плеча у тебя на локте болтается! и я отнюдь не дюймовочка (рост 166 см, ог 91 см).  ворот — вообще боль. либо он как-то нелепо торчит вверх, либо, если спустить его на плечи, то становится вообще непонятно, на какой сезон этот свитер (голая шея, голые плечи — и свитер так на -30 градусов). колется. антистатик не исправил ситуацию. по мне, так выброшенные деньги. читайте внимательно комментарии и не ведитесь на модность бренда."
"купила дочери, 10 лет, рост 147. очень понравилась куртка и мне и дочке. есть один крохотный недочёт - для крепления меха на самых краях пуговицы пришиты только с одной стороны, не страшно, пуговицы простые прозрачные, маленькие, пришьём. в остальном превзошла мои ожидания, пошито аккуратно, даже мех для капюшона выглядит прекрасно. дочке чуть велико, но как раз как я хотела и просила продавца. спасибо продавцу - я попросила выбрать модель, которая будет чуть большевата дочке на ее пост, возраст и вес. все как я хотела! куртка выглядит прекрасно, и очень аккуратно, материал хороший. у нас цена была бы раза в 3 выше. на фото капюшон выставили вперёд что бы прикрыть лицо, поэтому может показаться более громоздкой, чем есть на самом деле. и по плечам и по бёдрам все супер, рукав для нашей зимы как раз. на шапку капюшон сядет идеально не в притык но и не слишком свободно. в общем все супер!!! мы довольны. доставка тоже быстрая!!!","купила дочери, 10 лет, рост 147. очень понравилась куртка и мне и дочке. есть один крохотный недочёт - для крепления меха на самых краях пуговицы пришиты только с одной стороны, не страшно, пуговицы простые прозрачные, маленькие, пришьём. в остальном превзошла мои ожидания, пошито аккуратно, даже мех для капюшона выглядит прекрасно. дочке чуть велико, но как раз как я хотела и просила продавца. спасибо продавцу - я попросила выбрать модель, которая будет чуть большевата дочке на ее пост, возраст и вес. все как я хотела! куртка выглядит прекрасно, и очень аккуратно, материал хороший. у нас цена была бы раза в 3 выше. на фото капюшон выставили вперёд что бы прикрыть лицо, поэтому может показаться более громоздкой, чем есть на самом деле. и по плечам и по бёдрам все супер, рукав для нашей зимы как раз. на шапку капюшон сядет идеально не в притык но и не слишком свободно. в общем все супер!!! мы довольны. доставка тоже быстрая!!!"
"продавец обманул! заказала 5 платьев, он выслал 3 и уверял, что я обманываю!!! но я не первый раз заказываю и уже научена опытом ни кому не доверять, снимала как вскрывала пакеты на видео, что и помогло вернуть деньги в споре! разочарована не передать как! будте бдительны, господа ;) но это пришло, поэтому оставлю отзыв, хотя и очень обижена - это видно по звёздам) платье не очень утягивает! размер соответствует. не очень аккуратные швы, у меня есть дорогое бандажное, поэтому есть с чем сравнить! в целом: за эти деньги норм. ","продавец обманул! заказала 5 платьев, он выслал 3 и уверял, что я обманываю!!! но я не первый раз заказываю и уже научена опытом ни кому не доверять, снимала как вскрывала пакеты на видео, что и помогло вернуть деньги в споре! разочарована не передать как! будте бдительны, господа ;) но это пришло, поэтому оставлю отзыв, хотя и очень обижена - это видно по звёздам) платье не очень утягивает! размер соответствует. не очень аккуратные швы, у меня есть дорогое бандажное, поэтому есть с чем сравнить! в целом: за эти деньги норм. "
"заказа платье в день распродаж 11.11.2017., но трек-номер не заработал. к концу декабря я связалась с продавцом и он уверил, что проверил заказ, связавшись с компанией, которая посылку отправляла, а та ответила, что она потеряна. тогда продавец согласился (!) вернуть деньги, но попросил для этого логин и пароль от моего пайпала. я не стала этого делать и  открыла спор. и тут пошли вопли в сообщения о том, что посылка отправлена на неправильный адрес (вдруг) и мне нужно закрыть спор, чтобы продавец выслал мне новую (в споре изменил сумму возврата на 0). я отказалась, тогда он дал мне еще какой-то трек и также попросил закрыть спор, на что я снова отказалась. вмешался али, попросил тоже подождать. я просто не знала, что это за трек, может, он фальшивый или мне идет кусок тряпочки. в итоге посылку я получила всего за 7 дней и это было мое платье, поэтому спор я отменила, но за такой сервис ставлю 1. если бы было можно, поставила бы и 0, и -.    не рекомендую.","заказа платье в день распродаж 11.11.2017., но трек-номер не заработал. к концу декабря я связалась с продавцом и он уверил, что проверил заказ, связавшись с компанией, которая посылку отправляла, а та ответила, что она потеряна. тогда продавец согласился (!) вернуть деньги, но попросил для этого логин и пароль от моего пайпала. я не стала этого делать и  открыла спор. и тут пошли вопли в сообщения о том, что посылка отправлена на неправильный адрес (вдруг) и мне нужно закрыть спор, чтобы продавец выслал мне новую (в споре изменил сумму возврата на 0). я отказалась, тогда он дал мне еще какой-то трек и также попросил закрыть спор, на что я снова отказалась. вмешался али, попросил тоже подождать. я просто не знала, что это за трек, может, он фальшивый или мне идет кусок тряпочки. в итоге посылку я получила всего за 7 дней и это было мое платье, поэтому спор я отменила, но за такой сервис ставлю 1. если бы было можно, поставила бы и 0, и -.    не рекомендую."
